DiskSize,DiskType,Inputs,MachineType,NodeCount,PriceHourlyPerNode,ResponseTimes,Zone
30,pd-standard,13410,f1-micro,3,0.43,4.0552150000000005,europe-west2-a
30,pd-standard,13240,f1-micro,3,0.43,4.101033999999999,europe-west2-a
30,pd-standard,7098,f1-micro,3,0.43,1.8400349999999999,europe-west2-a
30,pd-standard,11182,f1-micro,3,0.43,2.801758,europe-west2-a
30,pd-standard,11231,f1-micro,3,0.43,1.7309259999999997,europe-west2-a
30,pd-standard,6586,f1-micro,3,0.43,2.5762650000000002,europe-west2-a
30,pd-standard,9412,f1-micro,3,0.43,2.782661,europe-west2-a
30,pd-standard,9183,f1-micro,3,0.43,2.781621,europe-west2-a
30,pd-standard,10974,f1-micro,3,0.43,2.345336,europe-west2-a
30,pd-standard,10721,f1-micro,3,0.43,12.833198,europe-west2-a
30,pd-standard,12033,f1-micro,3,0.43,12.94923,europe-west2-a
30,pd-standard,11640,f1-micro,3,0.43,14.777328,europe-west2-a
30,pd-standard,10975,f1-micro,3,0.43,3.1255599999999997,europe-west2-a
30,pd-standard,10944,f1-micro,3,0.43,2.7611060000000003,europe-west2-a
30,pd-standard,6106,f1-micro,3,0.43,1.8692380000000002,europe-west2-a
30,pd-standard,8608,f1-micro,3,0.43,4.044249,europe-west2-a
30,pd-standard,5607,f1-micro,3,0.43,1.4887,europe-west2-a
30,pd-standard,11178,f1-micro,3,0.43,3.167184,europe-west2-a
30,pd-standard,6515,f1-micro,3,0.43,1.1341459999999999,europe-west2-a
30,pd-standard,17698,f1-micro,3,0.43,3.434822,europe-west2-a
30,pd-standard,9012,f1-micro,3,0.43,1.5253219999999998,europe-west2-a
30,pd-standard,14029,f1-micro,3,0.43,3.8305550000000004,europe-west2-a
30,pd-standard,16969,f1-micro,3,0.43,6.953105,europe-west2-a
30,pd-standard,7456,f1-micro,3,0.43,20.266756,europe-west2-a
30,pd-standard,10949,f1-micro,3,0.43,12.749834,europe-west2-a
30,pd-standard,18499,f1-micro,3,0.43,4.421515,europe-west2-a
30,pd-standard,10972,f1-micro,3,0.43,2.625045,europe-west2-a
30,pd-standard,14012,f1-micro,3,0.43,3.572162,europe-west2-a
30,pd-standard,13418,f1-micro,3,0.43,2.231798,europe-west2-a
30,pd-standard,7308,f1-micro,3,0.43,2.027821,europe-west2-a
30,pd-standard,10669,f1-micro,3,0.43,2.742516,europe-west2-a
30,pd-standard,7185,f1-micro,3,0.43,1.5486959999999999,europe-west2-a
30,pd-standard,10117,f1-micro,3,0.43,3.15433,europe-west2-a
30,pd-standard,12617,f1-micro,3,0.43,2.637851,europe-west2-a
30,pd-standard,10226,f1-micro,3,0.43,4.915552,europe-west2-a
30,pd-standard,14340,f1-micro,3,0.43,20.226465,europe-west2-a
30,pd-standard,8106,f1-micro,3,0.43,12.00048,europe-west2-a
30,pd-standard,10571,f1-micro,3,0.4214,0.000172,europe-west2-a
30,pd-standard,11889,f1-micro,3,0.4214,2.383568,europe-west2-a
30,pd-standard,9827,f1-micro,3,0.4214,1.852086,europe-west2-a
30,pd-standard,12423,f1-micro,3,0.4214,2.089568,europe-west2-a
30,pd-standard,6870,f1-micro,3,0.4214,3.643394,europe-west2-a
30,pd-standard,10450,f1-micro,3,0.4214,2.232944,europe-west2-a
30,pd-standard,9941,f1-micro,3,0.4214,4.18095,europe-west2-a
30,pd-standard,8125,f1-micro,3,0.4214,2.209665,europe-west2-a
30,pd-standard,13659,f1-micro,3,0.4214,3.882164,europe-west2-a
30,pd-standard,6058,f1-micro,3,0.4214,2.294633,europe-west2-a
30,pd-standard,15222,f1-micro,3,0.4214,4.973492,europe-west2-a
30,pd-standard,12054,f1-micro,3,0.4214,5.314357,europe-west2-a
30,pd-standard,13607,f1-micro,3,0.4214,24.742155,europe-west2-a
30,pd-standard,10386,f1-micro,3,0.4214,3.290302,europe-west2-a
30,pd-standard,12649,f1-micro,3,0.4214,2.650805,europe-west2-a
30,pd-standard,10787,f1-micro,3,0.4214,3.530555,europe-west2-a
30,pd-standard,11709,f1-micro,3,0.4214,2.42827,europe-west2-a
30,pd-standard,15718,f1-micro,3,0.4214,3.588568,europe-west2-a
30,pd-standard,12403,f1-micro,3,0.4214,2.906866,europe-west2-a
30,pd-standard,7777,f1-micro,3,0.4214,1.833272,europe-west2-a
30,pd-standard,8171,f1-micro,3,0.4214,1.965888,europe-west2-a
30,pd-standard,15119,f1-micro,3,0.4214,3.782137,europe-west2-a
30,pd-standard,13871,f1-micro,3,0.4214,2.955738,europe-west2-a
30,pd-standard,9565,f1-micro,3,0.4214,14.865963,europe-west2-a
30,pd-standard,11100,f1-micro,3,0.4214,22.905697,europe-west2-a
30,pd-standard,11320,f1-micro,3,0.4214,2.840694,europe-west2-a
30,pd-standard,7843,f1-micro,3,0.4214,2.651587,europe-west2-a
30,pd-standard,14924,f1-micro,3,0.4214,3.529292,europe-west2-a
30,pd-standard,11571,f1-micro,3,0.4214,2.521606,europe-west2-a
30,pd-standard,12157,f1-micro,3,0.4214,3.489296,europe-west2-a
30,pd-standard,9837,f1-micro,3,0.4214,3.283802,europe-west2-a
30,pd-standard,11146,f1-micro,3,0.4214,2.385093,europe-west2-a
30,pd-standard,11931,f1-micro,3,0.4214,2.821742,europe-west2-a
30,pd-standard,10986,f1-micro,3,0.4214,3.642472,europe-west2-a
30,pd-standard,8970,f1-micro,3,0.4214,7.964865,europe-west2-a
30,pd-standard,11355,f1-micro,3,0.4214,20.126763,europe-west2-a
30,pd-standard,13695,f1-micro,3,0.4214,10.845008,europe-west2-a
30,pd-standard,12094,f1-micro,3,0.4214,1.628927,europe-west2-a
30,pd-standard,8042,f1-micro,3,0.4214,2.258301,europe-west2-a
30,pd-standard,12610,f1-micro,3,0.4214,4.334353,europe-west2-a
30,pd-standard,10546,f1-micro,3,0.4214,1.571609,europe-west2-a
30,pd-standard,12053,f1-micro,3,0.4214,3.831538,europe-west2-a
30,pd-standard,9316,f1-micro,3,0.4214,1.910437,europe-west2-a
30,pd-standard,12536,f1-micro,3,0.4214,3.280908,europe-west2-a
30,pd-standard,13038,f1-micro,3,0.4214,2.38554,europe-west2-a
30,pd-standard,11627,f1-micro,3,0.4214,2.819988,europe-west2-a
30,pd-standard,9592,f1-micro,3,0.4214,3.645647,europe-west2-a
30,pd-standard,15354,f1-micro,3,0.4214,7.964877,europe-west2-a
30,pd-standard,12943,f1-micro,3,0.4214,24.741722,europe-west2-a
30,pd-standard,8875,f1-micro,3,0.2838,3.81555,europe-west2-a
30,pd-standard,10448,f1-micro,3,0.2838,4.444355000000002,europe-west2-a
30,pd-standard,10756,f1-micro,3,0.2838,3.5930230000000005,europe-west2-a
30,pd-standard,17439,f1-micro,3,0.2838,4.771102,europe-west2-a
30,pd-standard,10273,f1-micro,3,0.2838,3.3194879999999998,europe-west2-a
30,pd-standard,14377,f1-micro,3,0.2838,23.272661,europe-west2-a
30,pd-standard,13439,f1-micro,3,0.2838,25.096,europe-west2-a
30,pd-standard,10722,f1-micro,3,0.2838,2.6267970000000003,europe-west2-a
30,pd-standard,13013,f1-micro,3,0.2838,2.4008,europe-west2-a
30,pd-standard,18993,f1-micro,3,0.2838,3.980605,europe-west2-a
30,pd-standard,14316,f1-micro,3,0.2838,5.338891,europe-west2-a
30,pd-standard,14111,f1-micro,3,0.2838,2.7273560000000003,europe-west2-a
30,pd-standard,10740,f1-micro,3,0.2838,5.8644440000000015,europe-west2-a
30,pd-standard,12002,f1-micro,3,0.2838,23.183609,europe-west2-a
30,pd-standard,13557,f1-micro,3,0.2838,27.467254999999998,europe-west2-a
30,pd-standard,10833,f1-micro,3,0.2838,3.4733330000000002,europe-west2-a
30,pd-standard,11805,f1-micro,3,0.2838,4.44477,europe-west2-a
30,pd-standard,11505,f1-micro,3,0.2838,3.59334,europe-west2-a
30,pd-standard,11698,f1-micro,3,0.2838,4.771369,europe-west2-a
30,pd-standard,14464,f1-micro,3,0.2838,3.3194410000000003,europe-west2-a
30,pd-standard,10600,f1-micro,3,0.2838,17.780015,europe-west2-a
30,pd-standard,9938,f1-micro,3,0.2838,15.248638,europe-west2-a
30,pd-standard,15250,f1-micro,3,0.2838,20.991999,europe-west2-a
30,pd-standard,7934,f1-micro,3,0.2838,0.00018899999999999999,europe-west2-a
30,pd-standard,7439,f1-micro,3,0.2838,0.00011899999999999999,europe-west2-a
30,pd-standard,14643,f1-micro,3,0.2838,1.9543700000000002,europe-west2-a
30,pd-standard,11900,f1-micro,3,0.2838,2.971058,europe-west2-a
30,pd-standard,13979,f1-micro,3,0.2838,5.339992,europe-west2-a
30,pd-standard,13826,f1-micro,3,0.2838,2.8998,europe-west2-a
30,pd-standard,11853,f1-micro,3,0.2838,5.608447,europe-west2-a
30,pd-standard,11215,f1-micro,3,0.2838,1.308849,europe-west2-a
30,pd-standard,13398,f1-micro,3,0.2838,23.271319000000002,europe-west2-a
30,pd-standard,14543,f1-micro,3,0.2838,25.004967,europe-west2-a
