DiskSize,DiskType,Inputs,MachineType,NodeCount,PriceHourlyPerNode,ResponseTimes,Zone
30,pd-standard,9230,f1-micro,3,0.3354,2.112493,europe-west1-b
30,pd-standard,10897,f1-micro,3,0.3354,3.387175,europe-west1-b
30,pd-standard,17979,f1-micro,3,0.3354,3.5271190000000003,europe-west1-b
30,pd-standard,6631,f1-micro,3,0.3354,2.307957,europe-west1-b
30,pd-standard,7095,f1-micro,3,0.3354,2.406492,europe-west1-b
30,pd-standard,10708,f1-micro,3,0.3354,20.51817,europe-west1-b
30,pd-standard,10922,f1-micro,3,0.3354,16.242342,europe-west1-b
30,pd-standard,9135,f1-micro,3,0.3354,7.255395,europe-west1-b
30,pd-standard,7128,f1-micro,3,0.3354,2.42772,europe-west1-b
30,pd-standard,6157,f1-micro,3,0.3354,1.519739,europe-west1-b
30,pd-standard,11318,f1-micro,3,0.3354,2.073083,europe-west1-b
30,pd-standard,8421,f1-micro,3,0.3354,4.6467800000000015,europe-west1-b
30,pd-standard,7107,f1-micro,3,0.3354,1.552172,europe-west1-b
30,pd-standard,7856,f1-micro,3,0.3354,2.9778290000000003,europe-west1-b
30,pd-standard,9495,f1-micro,3,0.3354,8.56137,europe-west1-b
30,pd-standard,11593,f1-micro,3,0.3354,22.284099,europe-west1-b
30,pd-standard,10986,f1-micro,3,0.3354,9.248292,europe-west1-b
30,pd-standard,9978,f1-micro,3,0.3354,8.707218,europe-west1-b
30,pd-standard,14061,f1-micro,3,0.3354,1.794277,europe-west1-b
30,pd-standard,10001,f1-micro,3,0.3354,1.995957,europe-west1-b
30,pd-standard,12112,f1-micro,3,0.3354,3.491564,europe-west1-b
30,pd-standard,11952,f1-micro,3,0.3354,2.24558,europe-west1-b
30,pd-standard,5635,f1-micro,3,0.3354,4.828082,europe-west1-b
30,pd-standard,6550,f1-micro,3,0.3354,0.507677,europe-west1-b
30,pd-standard,11839,f1-micro,3,0.3354,2.406867,europe-west1-b
30,pd-standard,13840,f1-micro,3,0.3354,20.519366,europe-west1-b
30,pd-standard,11771,f1-micro,3,0.3354,16.241634,europe-west1-b
30,pd-standard,7259,f1-micro,3,0.3354,7.256166,europe-west1-b
30,pd-standard,10024,f1-micro,3,0.3354,3.03817,europe-west1-b
30,pd-standard,11096,f1-micro,3,0.3354,2.1125580000000004,europe-west1-b
30,pd-standard,13393,f1-micro,3,0.3354,3.346785,europe-west1-b
30,pd-standard,13899,f1-micro,3,0.3354,3.56772,europe-west1-b
30,pd-standard,16825,f1-micro,3,0.3354,2.463026,europe-west1-b
30,pd-standard,9489,f1-micro,3,0.3354,1.7518349999999998,europe-west1-b
30,pd-standard,14789,f1-micro,3,0.3354,11.289091,europe-west1-b
30,pd-standard,9341,f1-micro,3,0.3354,14.208838,europe-west1-b
30,pd-standard,7741,f1-micro,3,0.3354,16.487913,europe-west1-b
30,pd-standard,5882,f1-micro,3,0.3354,5.748654,europe-west1-b
