DiskSize,DiskType,Inputs,MachineType,NodeCount,PriceHourlyPerNode,ResponseTimes,Zone,PriceHourly,CPUPerNode,CPUs,NumberAndMachine
30,pd-standard,13897,n1-highcpu-8,2,0.312,1.103275,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,16102,n1-highcpu-8,2,0.312,1.475926,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13287,n1-highcpu-8,2,0.312,1.013744,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11164,n1-highcpu-8,2,0.312,0.704118,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9827,n1-highcpu-8,2,0.312,0.570772,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10932,n1-highcpu-8,2,0.312,0.693037,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,12229,n1-highcpu-8,2,0.312,0.870436,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13281,n1-highcpu-8,2,0.312,1.026729,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10707,n1-highcpu-8,2,0.312,0.650916,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,14316,n1-highcpu-8,2,0.312,1.153979,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,5992,n1-highcpu-8,2,0.312,0.224905,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10912,n1-highcpu-8,2,0.312,0.685763,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,17366,n1-highcpu-8,2,0.312,1.703161,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11216,n1-highcpu-8,2,0.312,0.72244,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13472,n1-highcpu-8,2,0.312,1.032772,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11079,n1-highcpu-8,2,0.312,0.708484,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11283,n1-highcpu-8,2,0.312,0.732852,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9785,n1-highcpu-8,2,0.312,0.578735,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8071,n1-highcpu-8,2,0.312,0.391539,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9594,n1-highcpu-8,2,0.312,0.548116,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,16291,n1-highcpu-8,2,0.312,1.566915,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10345,n1-highcpu-8,2,0.312,0.625041,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,14650,n1-highcpu-8,2,0.312,1.254338,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
